t_code_units,ps
-9.300000000000000000e+01,-6.121371199170000210e+01
-9.298000000000000398e+01,-6.120054775256200230e+01
-9.295999999999999375e+01,-6.118738351342399540e+01
-9.293999999999999773e+01,-6.117421927428599560e+01
-9.292000000000000171e+01,-6.116105503514800290e+01
-9.290000000000000568e+01,-6.114789079601000310e+01
-9.287999999999999545e+01,-6.113472655687199619e+01
-9.285999999999999943e+01,-6.112156231773400350e+01
-9.284000000000000341e+01,-6.110839807859600370e+01
-9.281999999999999318e+01,-6.109523383945799679e+01
-9.279999999999999716e+01,-6.108206960031999699e+01
-9.278000000000000114e+01,-6.106890536118200430e+01
-9.276000000000000512e+01,-6.105574112204400450e+01
-9.273999999999999488e+01,-6.104257688290599759e+01
-9.271999999999999886e+01,-6.102941264376799779e+01
-9.270000000000000284e+01,-6.101624840463000510e+01
-9.267999999999999261e+01,-6.100308416549199819e+01
-9.265999999999999659e+01,-6.098991992635399839e+01
-9.264000000000000057e+01,-6.097675568721599859e+01
-9.262000000000000455e+01,-6.096359144807800590e+01
-9.259999999999999432e+01,-6.095042720893999899e+01
-9.257999999999999829e+01,-6.093726296980199919e+01
-9.256000000000000227e+01,-6.092409873066399939e+01
-9.254000000000000625e+01,-6.091093449152600670e+01
-9.251999999999999602e+01,-6.089777025238799979e+01
-9.250000000000000000e+01,-6.088460601324999999e+01
-9.248000000000000398e+01,-6.087144177411200019e+01
-9.245999999999999375e+01,-6.085827753497399328e+01
-9.243999999999999773e+01,-6.084511329583600059e+01
-9.242000000000000171e+01,-6.083194905669800079e+01
-9.240000000000000568e+01,-6.081878481756000099e+01
-9.237999999999999545e+01,-6.080562057842199408e+01
-9.235999999999999943e+01,-6.079245633928400139e+01
-9.234000000000000341e+01,-6.077929210014600159e+01
-9.231999999999999318e+01,-6.076612786100799468e+01
-9.229999999999999716e+01,-6.075296362187000199e+01
-9.228000000000000114e+01,-6.073979938273200219e+01
-9.226000000000000512e+01,-6.072663514359400239e+01
-9.223999999999999488e+01,-6.071347090445599548e+01
-9.221999999999999886e+01,-6.070030666531800279e+01
-9.220000000000000284e+01,-6.068714242618000299e+01
-9.217999999999999261e+01,-6.067397818704199608e+01
-9.215999999999999659e+01,-6.066081394790399628e+01
-9.214000000000000057e+01,-6.064764970876600358e+01
-9.212000000000000455e+01,-6.063448546962800378e+01
-9.209999999999999432e+01,-6.062132123048999688e+01
-9.207999999999999829e+01,-6.060815699135199708e+01
-9.206000000000000227e+01,-6.059499275221400438e+01
-9.204000000000000625e+01,-6.058182851307600458e+01
-9.201999999999999602e+01,-6.056866427393799768e+01
-9.200000000000000000e+01,-6.055550003479999788e+01
-9.198000000000000398e+01,-6.054233579566200518e+01
-9.195999999999999375e+01,-6.052917155652399828e+01
-9.193999999999999773e+01,-6.051600731738599848e+01
-9.192000000000000171e+01,-6.050284307824799868e+01
-9.190000000000000568e+01,-6.048967883911000598e+01
-9.187999999999999545e+01,-6.047651459997199908e+01
-9.185999999999999943e+01,-6.046335036083399928e+01
-9.184000000000000341e+01,-6.045018612169599947e+01
-9.181999999999999318e+01,-6.043702188255799257e+01
-9.179999999999999716e+01,-6.042385764341999987e+01
-9.178000000000000114e+01,-6.041069340428200007e+01
-9.176000000000000512e+01,-6.039752916514400738e+01
-9.173999999999999488e+01,-6.038436492600600047e+01
-9.171999999999999886e+01,-6.037120068686800067e+01
-9.170000000000000284e+01,-6.035803644773000087e+01
-9.167999999999999261e+01,-6.034487220859199397e+01
-9.165999999999999659e+01,-6.033170796945400127e+01
-9.164000000000000057e+01,-6.031854373031600147e+01
-9.162000000000000455e+01,-6.030537949117800167e+01
-9.159999999999999432e+01,-6.029221525203999477e+01
-9.157999999999999829e+01,-6.027905101290200207e+01
-9.156000000000000227e+01,-6.026588677376400227e+01
-9.154000000000000625e+01,-6.025272253462600247e+01
-9.151999999999999602e+01,-6.023955829548799557e+01
-9.150000000000000000e+01,-6.022639405635000287e+01
-9.148000000000000398e+01,-6.021322981721200307e+01
-9.145999999999999375e+01,-6.020006557807399616e+01
-9.143999999999999773e+01,-6.018690133893599636e+01
-9.142000000000000171e+01,-6.017373709979800367e+01
-9.140000000000000568e+01,-6.016057286066000387e+01
-9.137999999999999545e+01,-6.014740862152199696e+01
-9.135999999999999943e+01,-6.013424438238399716e+01
-9.134000000000000341e+01,-6.012108014324600447e+01
-9.131999999999999318e+01,-6.010791590410799756e+01
-9.129999999999999716e+01,-6.009475166496999776e+01
-9.128000000000000114e+01,-6.008158742583199796e+01
-9.126000000000000512e+01,-6.006842318669400527e+01
-9.123999999999999488e+01,-6.005525894755599836e+01
-9.121999999999999886e+01,-6.004209470841799856e+01
-9.120000000000000284e+01,-6.002893046928000587e+01
-9.117999999999999261e+01,-6.001576623014199896e+01
-9.115999999999999659e+01,-6.000260199100399916e+01
-9.114000000000000057e+01,-5.998943775186599936e+01
-9.112000000000000455e+01,-5.997627351272800666e+01
-9.109999999999999432e+01,-5.996310927358999976e+01
-9.107999999999999829e+01,-5.994994503445199996e+01
-9.106000000000000227e+01,-5.993678079531400016e+01
-9.104000000000000625e+01,-5.992361655617600746e+01
-9.101999999999999602e+01,-5.991045231703800056e+01
-9.100000000000000000e+01,-5.989728807790000076e+01
-9.098000000000000398e+01,-5.988412383876200096e+01
-9.095999999999999375e+01,-5.987095959962399405e+01
-9.093999999999999773e+01,-5.985779536048600136e+01
-9.092000000000000171e+01,-5.984463112134800156e+01
-9.090000000000000568e+01,-5.983146688221000176e+01
-9.087999999999999545e+01,-5.981830264307199485e+01
-9.085999999999999943e+01,-5.980513840393400216e+01
-9.084000000000000341e+01,-5.979197416479600236e+01
-9.081999999999999318e+01,-5.977880992565799545e+01
-9.079999999999999716e+01,-5.976564568651999565e+01
-9.078000000000000114e+01,-5.975248144738200295e+01
-9.076000000000000512e+01,-5.973931720824400315e+01
-9.073999999999999488e+01,-5.972615296910599625e+01
-9.071999999999999886e+01,-5.971298872996799645e+01
-9.070000000000000284e+01,-5.969982449083000375e+01
-9.067999999999999261e+01,-5.968666025169199685e+01
-9.065999999999999659e+01,-5.967349601255399705e+01
-9.064000000000000057e+01,-5.966033177341600435e+01
-9.062000000000000455e+01,-5.964716753427800455e+01
-9.059999999999999432e+01,-5.963400329513999765e+01
-9.057999999999999829e+01,-5.962083905600199785e+01
-9.056000000000000227e+01,-5.960767481686400515e+01
-9.054000000000000625e+01,-5.959451057772600535e+01
