tau_code_units,ps
-7.320000000000000284e+01,-4.818111524508000088e+01
-7.300000000000000000e+01,-4.804947285370000287e+01
-7.279999999999999716e+01,-4.791783046231999776e+01
-7.259999999999999432e+01,-4.778618807093999976e+01
-7.239999999999999147e+01,-4.765454567955999465e+01
-7.220000000000000284e+01,-4.752290328818000376e+01
-7.200000000000000000e+01,-4.739126089679999865e+01
-7.179999999999999716e+01,-4.725961850542000064e+01
-7.159999999999999432e+01,-4.712797611403999554e+01
-7.139999999999999147e+01,-4.699633372265999753e+01
-7.120000000000000284e+01,-4.686469133127999953e+01
-7.100000000000000000e+01,-4.673304893990000153e+01
-7.079999999999999716e+01,-4.660140654851999642e+01
-7.059999999999999432e+01,-4.646976415713999842e+01
-7.039999999999999147e+01,-4.633812176575999331e+01
-7.020000000000000284e+01,-4.620647937438000241e+01
-7.000000000000000000e+01,-4.607483698299999730e+01
-6.979999999999999716e+01,-4.594319459161999930e+01
-6.959999999999999432e+01,-4.581155220023999419e+01
-6.939999999999999147e+01,-4.567990980885999619e+01
-6.920000000000000284e+01,-4.554826741748000529e+01
-6.900000000000000000e+01,-4.541662502610000018e+01
-6.879999999999999716e+01,-4.528498263471999508e+01
-6.859999999999999432e+01,-4.515334024333999707e+01
-6.839999999999999147e+01,-4.502169785195999197e+01
-6.820000000000000284e+01,-4.489005546058000107e+01
-6.800000000000000000e+01,-4.475841306920000306e+01
-6.779999999999999716e+01,-4.462677067781999796e+01
-6.759999999999999432e+01,-4.449512828643999995e+01
-6.739999999999999147e+01,-4.436348589505999485e+01
-6.720000000000000284e+01,-4.423184350368000395e+01
-6.700000000000000000e+01,-4.410020111229999884e+01
-6.679999999999999716e+01,-4.396855872092000084e+01
